id;hanzi;pinyin;translationKey;translation;isCustom;value
1;的;de;w_hsk_1_1;;0;0
2;一;yī;w_hsk_1_2;;0;0
3;是;shì;w_hsk_1_3;;0;0
4;不;bù;w_hsk_1_4;;0;0
5;了;le;w_hsk_1_5;;0;0
6;在;zài;w_hsk_1_6;;0;0
7;人;rén;w_hsk_1_7;;0;0
8;有;yǒu;w_hsk_1_8;;0;0
9;我;wǒ;w_hsk_1_9;;0;0
10;他;tā;w_hsk_1_10;;0;0
11;这;zhè;w_hsk_1_11;;0;0
12;个;gè;w_hsk_1_12;;0;0
13;们;men;w_hsk_1_13;;0;0
14;中;zhōng;w_hsk_1_14;;0;0
15;来;lái;w_hsk_1_15;;0;0
16;上;shàng;w_hsk_1_16;;0;0
17;大;dà;w_hsk_1_17;;0;0
18;和;hé;w_hsk_1_18;;0;0
19;国;guó;w_hsk_1_19;;0;0
20;说;shuō;w_hsk_1_20;;0;0
21;时;shí;w_hsk_1_21;;0;0
22;出;chū;w_hsk_1_22;;0;0
23;会;huì;w_hsk_1_23;;0;0
24;你;nǐ;w_hsk_1_24;;0;0
25;对;duì;w_hsk_1_25;;0;0
26;生;shēng;w_hsk_1_26;;0;0
27;能;néng;w_hsk_1_27;;0;0
28;子;zi;w_hsk_1_28;;0;0
29;那;nà;w_hsk_1_29;;0;0
30;下;xià;w_hsk_1_30;;0;0
31;年;nián;w_hsk_1_31;;0;0
32;后;hòu;w_hsk_1_32;;0;0
33;作;zuò;w_hsk_1_33;;0;0
34;里;lǐ;w_hsk_1_34;;0;0
35;家;jiā;w_hsk_1_35;;0;0
36;多;duō;w_hsk_1_36;;0;0
37;么;me;w_hsk_1_37;;0;0
38;去;qù;w_hsk_1_38;;0;0
39;学;xué;w_hsk_1_39;;0;0
40;都;dōu;w_hsk_1_40;;0;0
41;同;tóng;w_hsk_1_41;;0;0
42;现;xiàn;w_hsk_1_42;;0;0
43;没;méi;w_hsk_1_43;;0;0
44;面;miàn;w_hsk_1_44;;0;0
45;起;qǐ;w_hsk_1_45;;0;0
46;看;kàn;w_hsk_1_46;;0;0
47;天;tiān;w_hsk_1_47;;0;0
48;分;fēn;w_hsk_1_48;;0;0
49;好;hǎo;w_hsk_1_49;;0;0
50;小;xiǎo;w_hsk_1_50;;0;0
51;些;xiē;w_hsk_1_51;;0;0
52;样;yàng;w_hsk_1_52;;0;0
53;她;tā;w_hsk_1_53;;0;0
54;本;běn;w_hsk_1_54;;0;0
55;前;qián;w_hsk_1_55;;0;0
56;开;kāi;w_hsk_1_56;;0;0
57;想;xiǎng;w_hsk_1_57;;0;0
58;机;jī;w_hsk_1_58;;0;0
59;十;shí;w_hsk_1_59;;0;0
60;工;gōng;w_hsk_1_60;;0;0
61;明;míng;w_hsk_1_61;;0;0
62;三;sān;w_hsk_1_62;;0;0
63;关;guān;w_hsk_1_63;;0;0
64;点;diǎn;w_hsk_1_64;;0;0
65;高;gāo;w_hsk_1_65;;0;0
66;很;hěn;w_hsk_1_66;;0;0
67;见;jiàn;w_hsk_1_67;;0;0
68;什;shén;w_hsk_1_68;;0;0
69;二;èr;w_hsk_1_69;;0;0
70;果;guǒ;w_hsk_1_70;;0;0
71;西;xī;w_hsk_1_71;;0;0
72;月;yuè;w_hsk_1_72;;0;0
73;话;huà;w_hsk_1_73;;0;0
74;回;huí;w_hsk_1_74;;0;0
75;老;lǎo;w_hsk_1_75;;0;0
76;先;xiān;w_hsk_1_76;;0;0
77;儿;ér;w_hsk_1_77;;0;0
78;东;dōng;w_hsk_1_78;;0;0
79;水;shuǐ;w_hsk_1_79;;0;0
80;名;míng;w_hsk_1_80;;0;0
81;几;jǐ;w_hsk_1_81;;0;0
82;认;rèn;w_hsk_1_82;;0;0
83;系;xì;w_hsk_1_83;;0;0
84;气;qì;w_hsk_1_84;;0;0
85;打;dǎ;w_hsk_1_85;;0;0
86;女;nǚ;w_hsk_1_86;;0;0
87;四;sì;w_hsk_1_87;;0;0
88;电;diàn;w_hsk_1_88;;0;0
89;少;shǎo;w_hsk_1_89;;0;0
90;太;tài;w_hsk_1_90;;0;0
