id;hanzi;pinyin;translationKey;translation;isCustom;value
91;再;zài;w_hsk_1_91;;0;0
92;做;zuò;w_hsk_1_92;;0;0
93;期;qī;w_hsk_1_93;;0;0
94;五;wǔ;w_hsk_1_94;;0;0
95;书;shū;w_hsk_1_95;;0;0
96;听;tīng;w_hsk_1_96;;0;0
97;住;zhù;w_hsk_1_97;;0;0
98;北;běi;w_hsk_1_98;;0;0
99;觉;jué;w_hsk_1_99;;0;0
100;师;shī;w_hsk_1_100;;0;0
101;今;jīn;w_hsk_1_101;;0;0
102;院;yuàn;w_hsk_1_102;;0;0
103;识;shí;w_hsk_1_103;;0;0
104;候;hòu;w_hsk_1_104;;0;0
105;飞;fēi;w_hsk_1_105;;0;0
106;车;chē;w_hsk_1_106;;0;0
107;服;fú;w_hsk_1_107;;0;0
108;怎;zěn;w_hsk_1_108;;0;0
109;呢;ne;w_hsk_1_109;;0;0
110;叫;jiào;w_hsk_1_110;;0;0
111;影;yǐng;w_hsk_1_111;;0;0
112;字;zì;w_hsk_1_112;;0;0
113;爱;ài;w_hsk_1_113;;0;0
114;商;shāng;w_hsk_1_114;;0;0
115;请;qǐng;w_hsk_1_115;;0;0
116;视;shì;w_hsk_1_116;;0;0
117;九;jiǔ;w_hsk_1_117;;0;0
118;写;xiě;w_hsk_1_118;;0;0
119;八;bā;w_hsk_1_119;;0;0
120;吗;ma;w_hsk_1_120;;0;0
121;吃;chī;w_hsk_1_121;;0;0
122;六;liù;w_hsk_1_122;;0;0
123;医;yī;w_hsk_1_123;;0;0
124;号;hào;w_hsk_1_124;;0;0
125;语;yǔ;w_hsk_1_125;;0;0
126;七;qī;w_hsk_1_126;;0;0
127;兴;xìng;w_hsk_1_127;;0;0
128;星;xīng;w_hsk_1_128;;0;0
129;京;jīng;w_hsk_1_129;;0;0
130;米;mǐ;w_hsk_1_130;;0;0
131;客;kè;w_hsk_1_131;;0;0
132;友;yǒu;w_hsk_1_132;;0;0
133;钱;qián;w_hsk_1_133;;0;0
134;热;rè;w_hsk_1_134;;0;0
135;坐;zuò;w_hsk_1_135;;0;0
136;校;xiào;w_hsk_1_136;;0;0
137;脑;nǎo;w_hsk_1_137;;0;0
138;谁;shuí;w_hsk_1_138;;0;0
139;哪;nǎ;w_hsk_1_139;;0;0
140;喜;xǐ;w_hsk_1_140;;0;0
141;习;xí;w_hsk_1_141;;0;0
142;欢;huān;w_hsk_1_142;;0;0
143;冷;lěng;w_hsk_1_143;;0;0
144;汉;hàn;w_hsk_1_144;;0;0
145;衣;yī;w_hsk_1_145;;0;0
146;妈;mā;w_hsk_1_146;;0;0
147;读;dú;w_hsk_1_147;;0;0
148;买;mǎi;w_hsk_1_148;;0;0
149;岁;suì;w_hsk_1_149;;0;0
150;块;kuài;w_hsk_1_150;;0;0
151;姐;jiě;w_hsk_1_151;;0;0
152;亮;liàng;w_hsk_1_152;;0;0
153;朋;péng;w_hsk_1_153;;0;0
154;谢;xiè;w_hsk_1_154;;0;0
155;钟;zhōng;w_hsk_1_155;;0;0
156;雨;yǔ;w_hsk_1_156;;0;0
157;饭;fàn;w_hsk_1_157;;0;0
158;睡;shuì;w_hsk_1_158;;0;0
159;喝;hē;w_hsk_1_159;;0;0
160;午;wǔ;w_hsk_1_160;;0;0
161;店;diàn;w_hsk_1_161;;0;0
162;爸;bà;w_hsk_1_162;;0;0
163;桌;zhuō;w_hsk_1_163;;0;0
164;菜;cài;w_hsk_1_164;;0;0
165;茶;chá;w_hsk_1_165;;0;0
166;狗;gǒu;w_hsk_1_166;;0;0
167;杯;bēi;w_hsk_1_167;;0;0
168;租;zū;w_hsk_1_168;;0;0
169;昨;zuó;w_hsk_1_169;;0;0
170;漂;piào;w_hsk_1_170;;0;0
171;椅;yǐ;w_hsk_1_171;;0;0
172;猫;māo;w_hsk_1_172;;0;0
173;喂;wèi;w_hsk_1_173;;0;0
174;苹;píng;w_hsk_1_174;;0;0
175;为;wèi;w_hsk_2_1;;0;0
176;到;dào;w_hsk_2_2;;0;0
177;以;yǐ;w_hsk_2_3;;0;0
178;要;yào;w_hsk_2_4;;0;0
179;就;jiù;w_hsk_2_5;;0;0
180;可;kě;w_hsk_2_6;;0;0
181;也;yě;w_hsk_2_7;;0;0
182;得;dé;w_hsk_2_8;;0;0
183;着;zhe;w_hsk_2_9;;0;0
184;过;guò;w_hsk_2_10;;0;0
185;道;dào;w_hsk_2_11;;0;0
186;所;suǒ;w_hsk_2_12;;0;0
187;然;rán;w_hsk_2_13;;0;0
188;事;shì;w_hsk_2_14;;0;0
189;经;jīng;w_hsk_2_15;;0;0
190;动;dòng;w_hsk_2_16;;0;0
191;还;hái;w_hsk_2_17;;0;0
192;进;jìn;w_hsk_2_18;;0;0
193;但;dàn;w_hsk_2_19;;0;0
194;因;yīn;w_hsk_2_20;;0;0
195;从;cóng;w_hsk_2_21;;0;0
196;日;rì;w_hsk_2_22;;0;0
197;意;yì;w_hsk_2_23;;0;0
198;它;tā;w_hsk_2_24;;0;0
199;长;zhǎng;w_hsk_2_25;;0;0
200;第;dì;w_hsk_2_26;;0;0
201;公;gōng;w_hsk_2_27;;0;0
202;已;yǐ;w_hsk_2_28;;0;0
203;情;qíng;w_hsk_2_29;;0;0
204;知;zhī;w_hsk_2_30;;0;0
205;正;zhèng;w_hsk_2_31;;0;0
206;外;wài;w_hsk_2_32;;0;0
207;两;liǎng;w_hsk_2_33;;0;0
208;间;jiān;w_hsk_2_34;;0;0
209;问;wèn;w_hsk_2_35;;0;0
210;最;zuì;w_hsk_2_36;;0;0
211;手;shǒu;w_hsk_2_37;;0;0
212;体;tǐ;w_hsk_2_38;;0;0
213;等;děng;w_hsk_2_39;;0;0
214;新;xīn;w_hsk_2_40;;0;0
215;身;shēn;w_hsk_2_41;;0;0
216;表;biǎo;w_hsk_2_42;;0;0
217;给;gěi;w_hsk_2_43;;0;0
218;次;cì;w_hsk_2_44;;0;0
219;门;mén;w_hsk_2_45;;0;0
220;常;cháng;w_hsk_2_46;;0;0
221;教;jiào;w_hsk_2_47;;0;0
222;比;bǐ;w_hsk_2_48;;0;0
223;员;yuán;w_hsk_2_49;;0;0
224;真;zhēn;w_hsk_2_50;;0;0
225;走;zǒu;w_hsk_2_51;;0;0
226;条;tiáo;w_hsk_2_52;;0;0
227;题;tí;w_hsk_2_53;;0;0
228;别;bié;w_hsk_2_54;;0;0
229;报;bào;w_hsk_2_55;;0;0
230;务;wù;w_hsk_2_56;;0;0
231;场;chǎng;w_hsk_2_57;;0;0
232;件;jiàn;w_hsk_2_58;;0;0
233;便;biàn;w_hsk_2_59;;0;0
234;司;sī;w_hsk_2_60;;0;0
235;眼;yǎn;w_hsk_2_61;;0;0
236;非;fēi;w_hsk_2_62;;0;0
237;白;bái;w_hsk_2_63;;0;0
238;思;sī;w_hsk_2_64;;0;0
239;完;wán;w_hsk_2_65;;0;0
240;色;sè;w_hsk_2_66;;0;0
241;路;lù;w_hsk_2_67;;0;0
242;告;gào;w_hsk_2_68;;0;0
243;边;biān;w_hsk_2_69;;0;0
244;望;wàng;w_hsk_2_70;;0;0
245;共;gòng;w_hsk_2_71;;0;0
246;让;ràng;w_hsk_2_72;;0;0
247;运;yùn;w_hsk_2_73;;0;0
248;笑;xiào;w_hsk_2_74;;0;0
249;步;bù;w_hsk_2_75;;0;0
250;每;měi;w_hsk_2_76;;0;0
251;快;kuài;w_hsk_2_77;;0;0
252;往;wǎng;w_hsk_2_78;;0;0
253;近;jìn;w_hsk_2_79;;0;0
254;夫;fū;w_hsk_2_80;;0;0
255;准;zhǔn;w_hsk_2_81;;0;0
256;始;shǐ;w_hsk_2_82;;0;0
257;远;yuǎn;w_hsk_2_83;;0;0
258;备;bèi;w_hsk_2_84;;0;0
259;百;bǎi;w_hsk_2_85;;0;0
260;离;lí;w_hsk_2_86;;0;0
261;病;bìng;w_hsk_2_87;;0;0
262;息;xī;w_hsk_2_88;;0;0
263;火;huǒ;w_hsk_2_89;;0;0
264;早;zǎo;w_hsk_2_90;;0;0
265;找;zhǎo;w_hsk_2_91;;0;0
266;吧;ba;w_hsk_2_92;;0;0
267;考;kǎo;w_hsk_2_93;;0;0
268;红;hóng;w_hsk_2_94;;0;0
269;虽;suī;w_hsk_2_95;;0;0
270;希;xī;w_hsk_2_96;;0;0
271;房;fáng;w_hsk_2_97;;0;0
272;黑;hēi;w_hsk_2_98;;0;0
273;足;zú;w_hsk_2_99;;0;0
274;孩;hái;w_hsk_2_100;;0;0
275;站;zhàn;w_hsk_2_101;;0;0
276;诉;sù;w_hsk_2_102;;0;0
277;千;qiān;w_hsk_2_103;;0;0
278;男;nán;w_hsk_2_104;;0;0
279;助;zhù;w_hsk_2_105;;0;0
280;乐;lè;w_hsk_2_106;;0;0
281;球;qiú;w_hsk_2_107;;0;0
282;错;cuò;w_hsk_2_108;;0;0
283;晚;wǎn;w_hsk_2_109;;0;0
284;试;shì;w_hsk_2_110;;0;0
285;送;sòng;w_hsk_2_111;;0;0
286;药;yào;w_hsk_2_112;;0;0
287;游;yóu;w_hsk_2_113;;0;0
288;室;shì;w_hsk_2_114;;0;0
289;您;nín;w_hsk_2_115;;0;0
290;帮;bāng;w_hsk_2_116;;0;0
291;左;zuǒ;w_hsk_2_117;;0;0
292;右;yòu;w_hsk_2_118;;0;0
293;穿;chuān;w_hsk_2_119;;0;0
294;哥;gē;w_hsk_2_120;;0;0
295;弟;dì;w_hsk_2_121;;0;0
296;慢;màn;w_hsk_2_122;;0;0
297;忙;máng;w_hsk_2_123;;0;0
298;介;jiè;w_hsk_2_124;;0;0
299;鱼;yú;w_hsk_2_125;;0;0
300;跑;pǎo;w_hsk_2_126;;0;0
301;贵;guì;w_hsk_2_127;;0;0
302;班;bān;w_hsk_2_128;;0;0
303;票;piào;w_hsk_2_129;;0;0
304;睛;jīng;w_hsk_2_130;;0;0
305;旅;lǚ;w_hsk_2_131;;0;0
306;笔;bǐ;w_hsk_2_132;;0;0
307;卖;mài;w_hsk_2_133;;0;0
308;旁;páng;w_hsk_2_134;;0;0
309;阴;yīn;w_hsk_2_135;;0;0
310;跳;tiào;w_hsk_2_136;;0;0
311;雪;xuě;w_hsk_2_137;;0;0
312;肉;ròu;w_hsk_2_138;;0;0
313;馆;guǎn;w_hsk_2_139;;0;0
314;牛;niú;w_hsk_2_140;;0;0
315;纸;zhǐ;w_hsk_2_141;;0;0
316;歌;gē;w_hsk_2_142;;0;0
317;床;chuáng;w_hsk_2_143;;0;0
318;玩;wán;w_hsk_2_144;;0;0
319;妻;qī;w_hsk_2_145;;0;0
320;休;xiū;w_hsk_2_146;;0;0
321;舞;wǔ;w_hsk_2_147;;0;0
322;姓;xìng;w_hsk_2_148;;0;0
323;妹;mèi;w_hsk_2_149;;0;0
324;汽;qì;w_hsk_2_150;;0;0
325;课;kè;w_hsk_2_151;;0;0
326;懂;dǒng;w_hsk_2_152;;0;0
327;绍;shào;w_hsk_2_153;;0;0
328;丈;zhàng;w_hsk_2_154;;0;0
329;洗;xǐ;w_hsk_2_155;;0;0
330;唱;chàng;w_hsk_2_156;;0;0
331;奶;nǎi;w_hsk_2_157;;0;0
332;宜;yí;w_hsk_2_158;;0;0
333;累;lèi;w_hsk_2_159;;0;0
334;羊;yáng;w_hsk_2_160;;0;0
335;零;líng;w_hsk_2_161;;0;0
336;蛋;dàn;w_hsk_2_162;;0;0
337;鸡;jī;w_hsk_2_163;;0;0
338;宾;bīn;w_hsk_2_164;;0;0
339;颜;yán;w_hsk_2_165;;0;0
340;瓜;guā;w_hsk_2_166;;0;0
341;晴;qíng;w_hsk_2_167;;0;0
342;啡;fēi;w_hsk_2_168;;0;0
343;篮;lán;w_hsk_2_169;;0;0
344;咖;kā;w_hsk_2_170;;0;0
345;踢;tī;w_hsk_2_171;;0;0
346;泳;yǒng;w_hsk_2_172;;0;0
347;铅;qiān;w_hsk_2_173;;0;0
348;地;de;w_hsk_3_1;;0;0
349;而;ér;w_hsk_3_2;;0;0
350;于;yú;w_hsk_3_3;;0;0
351;自;zì;w_hsk_3_4;;0;0
352;发;fā;w_hsk_3_5;;0;0
353;用;yòng;w_hsk_3_6;;0;0
354;行;xíng;w_hsk_3_7;;0;0
355;种;zhǒng;w_hsk_3_8;;0;0
356;成;chéng;w_hsk_3_9;;0;0
357;方;fāng;w_hsk_3_10;;0;0
358;法;fǎ;w_hsk_3_11;;0;0
359;如;rú;w_hsk_3_12;;0;0
360;当;dāng;w_hsk_3_13;;0;0
361;定;dìng;w_hsk_3_14;;0;0
362;其;qí;w_hsk_3_15;;0;0
363;主;zhǔ;w_hsk_3_16;;0;0
364;理;lǐ;w_hsk_3_17;;0;0
365;心;xīn;w_hsk_3_18;;0;0
366;只;zhǐ;w_hsk_3_19;;0;0
367;实;shí;w_hsk_3_20;;0;0
368;者;zhě;w_hsk_3_21;;0;0
369;力;lì;w_hsk_3_22;;0;0
370;把;bǎ;w_hsk_3_23;;0;0
371;又;yòu;w_hsk_3_24;;0;0
372;业;yè;w_hsk_3_25;;0;0
373;重;zhòng;w_hsk_3_26;;0;0
374;物;wù;w_hsk_3_27;;0;0
375;应;yīng;w_hsk_3_28;;0;0
376;向;xiàng;w_hsk_3_29;;0;0
377;头;tóu;w_hsk_3_30;;0;0
378;文;wén;w_hsk_3_31;;0;0
379;相;xiāng;w_hsk_3_32;;0;0
380;被;bèi;w_hsk_3_33;;0;0
381;或;huò;w_hsk_3_34;;0;0
382;己;jǐ;w_hsk_3_35;;0;0
383;加;jiā;w_hsk_3_36;;0;0
384;特;tè;w_hsk_3_37;;0;0
385;信;xìn;w_hsk_3_38;;0;0
386;化;huà;w_hsk_3_39;;0;0
387;世;shì;w_hsk_3_40;;0;0
388;位;wèi;w_hsk_3_41;;0;0
389;声;shēng;w_hsk_3_42;;0;0
390;提;tí;w_hsk_3_43;;0;0
391;解;jiě;w_hsk_3_44;;0;0
392;口;kǒu;w_hsk_3_45;;0;0
393;平;píng;w_hsk_3_46;;0;0
394;更;gèng;w_hsk_3_47;;0;0
395;变;biàn;w_hsk_3_48;;0;0
396;总;zǒng;w_hsk_3_49;;0;0
397;数;shù;w_hsk_3_50;;0;0
398;安;ān;w_hsk_3_51;;0;0
399;才;cái;w_hsk_3_52;;0;0
400;结;jié;w_hsk_3_53;;0;0
401;目;mù;w_hsk_3_54;;0;0
402;感;gǎn;w_hsk_3_55;;0;0
403;接;jiē;w_hsk_3_56;;0;0
404;必;bì;w_hsk_3_57;;0;0
405;市;shì;w_hsk_3_58;;0;0
406;直;zhí;w_hsk_3_59;;0;0
407;山;shān;w_hsk_3_60;;0;0
408;空;kōng;w_hsk_3_61;;0;0
409;决;jué;w_hsk_3_62;;0;0
410;马;mǎ;w_hsk_3_63;;0;0
411;界;jiè;w_hsk_3_64;;0;0
412;放;fàng;w_hsk_3_65;;0;0
413;像;xiàng;w_hsk_3_66;;0;0
414;且;qiě;w_hsk_3_67;;0;0
415;难;nán;w_hsk_3_68;;0;0
416;记;jì;w_hsk_3_69;;0;0
417;南;nán;w_hsk_3_70;;0;0
418;求;qiú;w_hsk_3_71;;0;0
419;据;jù;w_hsk_3_72;;0;0
420;张;zhāng;w_hsk_3_73;;0;0
421;该;gāi;w_hsk_3_74;;0;0
422;万;wàn;w_hsk_3_75;;0;0
423;清;qīng;w_hsk_3_76;;0;0
424;带;dài;w_hsk_3_77;;0;0
425;风;fēng;w_hsk_3_78;;0;0
426;根;gēn;w_hsk_3_79;;0;0
427;干;gàn;w_hsk_3_80;;0;0
428;极;jí;w_hsk_3_81;;0;0
429;办;bàn;w_hsk_3_82;;0;0
430;议;yì;w_hsk_3_83;;0;0
431;元;yuán;w_hsk_3_84;;0;0
432;单;dān;w_hsk_3_85;;0;0
433;调;diào;w_hsk_3_86;;0;0
434;算;suàn;w_hsk_3_87;;0;0
435;需;xū;w_hsk_3_88;;0;0
436;花;huā;w_hsk_3_89;;0;0
437;城;chéng;w_hsk_3_90;;0;0
438;级;jí;w_hsk_3_91;;0;0
439;复;fù;w_hsk_3_92;;0;0
440;满;mǎn;w_hsk_3_93;;0;0
441;越;yuè;w_hsk_3_94;;0;0
442;容;róng;w_hsk_3_95;;0;0
443;照;zhào;w_hsk_3_96;;0;0
444;须;xū;w_hsk_3_97;;0;0
445;包;bāo;w_hsk_3_98;;0;0
446;片;piàn;w_hsk_3_99;;0;0
447;史;shǐ;w_hsk_3_100;;0;0
448;乎;hū;w_hsk_3_101;;0;0
449;查;chá;w_hsk_3_102;;0;0
450;轻;qīng;w_hsk_3_103;;0;0
451;易;yì;w_hsk_3_104;;0;0
452;除;chú;w_hsk_3_105;;0;0
453;阿;ā;w_hsk_3_106;;0;0
454;李;lǐ;w_hsk_3_107;;0;0
455;图;tú;w_hsk_3_108;;0;0
456;历;lì;w_hsk_3_109;;0;0
457;突;tū;w_hsk_3_110;;0;0
458;周;zhōu;w_hsk_3_111;;0;0
459;较;jiào;w_hsk_3_112;;0;0
460;注;zhù;w_hsk_3_113;;0;0
461;选;xuǎn;w_hsk_3_114;;0;0
462;响;xiǎng;w_hsk_3_115;;0;0
463;参;cān;w_hsk_3_116;;0;0
464;半;bàn;w_hsk_3_117;;0;0
465;节;jié;w_hsk_3_118;;0;0
466;护;hù;w_hsk_3_119;;0;0
467;音;yīn;w_hsk_3_120;;0;0
468;跟;gēn;w_hsk_3_121;;0;0
469;留;liú;w_hsk_3_122;;0;0
470;讲;jiǎng;w_hsk_3_123;;0;0
471;料;liào;w_hsk_3_124;;0;0
472;终;zhōng;w_hsk_3_125;;0;0
473;答;dá;w_hsk_3_126;;0;0
474;黄;huáng;w_hsk_3_127;;0;0
475;奇;qí;w_hsk_3_128;;0;0
476;段;duàn;w_hsk_3_129;;0;0
477;故;gù;w_hsk_3_130;;0;0
478;河;hé;w_hsk_3_131;;0;0
479;害;hài;w_hsk_3_132;;0;0
480;双;shuāng;w_hsk_3_133;;0;0
481;境;jìng;w_hsk_3_134;;0;0
482;愿;yuàn;w_hsk_3_135;;0;0
483;网;wǎng;w_hsk_3_136;;0;0
484;育;yù;w_hsk_3_137;;0;0
485;船;chuán;w_hsk_3_138;;0;0
486;脸;liǎn;w_hsk_3_139;;0;0
487;刻;kè;w_hsk_3_140;;0;0
488;刚;gāng;w_hsk_3_141;;0;0
489;般;bān;w_hsk_3_142;;0;0
490;怕;pà;w_hsk_3_143;;0;0
491;假;jiǎ;w_hsk_3_144;;0;0
492;久;jiǔ;w_hsk_3_145;;0;0
493;拿;ná;w_hsk_3_146;;0;0
494;阳;yáng;w_hsk_3_147;;0;0
495;急;jí;w_hsk_3_148;;0;0
496;居;jū;w_hsk_3_149;;0;0
497;环;huán;w_hsk_3_150;;0;0
498;树;shù;w_hsk_3_151;;0;0
499;层;céng;w_hsk_3_152;;0;0
500;句;jù;w_hsk_3_153;;0;0
501;简;jiǎn;w_hsk_3_154;;0;0
502;卡;kǎ;w_hsk_3_155;;0;0
503;担;dān;w_hsk_3_156;;0;0
504;静;jìng;w_hsk_3_157;;0;0
505;检;jiǎn;w_hsk_3_158;;0;0
506;差;chà;w_hsk_3_159;;0;0
507;角;jiǎo;w_hsk_3_160;;0;0
508;皮;pí;w_hsk_3_161;;0;0
509;啊;a;w_hsk_3_162;;0;0
510;超;chāo;w_hsk_3_163;;0;0
511;银;yín;w_hsk_3_164;;0;0
512;怪;guài;w_hsk_3_165;;0;0
513;香;xiāng;w_hsk_3_166;;0;0
514;铁;tiě;w_hsk_3_167;;0;0
515;草;cǎo;w_hsk_3_168;;0;0
516;脚;jiǎo;w_hsk_3_169;;0;0
517;酒;jiǔ;w_hsk_3_170;;0;0
518;顾;gù;w_hsk_3_171;;0;0
519;换;huàn;w_hsk_3_172;;0;0
520;闻;wén;w_hsk_3_173;;0;0
521;坏;huài;w_hsk_3_174;;0;0
522;楚;chǔ;w_hsk_3_175;;0;0
523;楼;lóu;w_hsk_3_176;;0;0
524;画;huà;w_hsk_3_177;;0;0
525;耳;ěr;w_hsk_3_178;;0;0
526;短;duǎn;w_hsk_3_179;;0;0
527;遇;yù;w_hsk_3_180;;0;0
528;康;kāng;w_hsk_3_181;;0;0
529;旧;jiù;w_hsk_3_182;;0;0
530;春;chūn;w_hsk_3_183;;0;0
531;附;fù;w_hsk_3_184;;0;0
532;礼;lǐ;w_hsk_3_185;;0;0
533;板;bǎn;w_hsk_3_186;;0;0
534;婚;hūn;w_hsk_3_187;;0;0
535;鲜;xiān;w_hsk_3_188;;0;0
536;词;cí;w_hsk_3_189;;0;0
537;择;zé;w_hsk_3_190;;0;0
538;健;jiàn;w_hsk_3_191;;0;0
539;借;jiè;w_hsk_3_192;;0;0
540;园;yuán;w_hsk_3_193;;0;0
541;牙;yá;w_hsk_3_194;;0;0
542;束;shù;w_hsk_3_195;;0;0
543;练;liàn;w_hsk_3_196;;0;0
544;爷;yé;w_hsk_3_197;;0;0
545;嘴;zuǐ;w_hsk_3_198;;0;0
546;戏;xì;w_hsk_3_199;;0;0
547;典;diǎn;w_hsk_3_200;;0;0
548;盘;pán;w_hsk_3_201;;0;0
549;忘;wàng;w_hsk_3_202;;0;0
550;赛;sài;w_hsk_3_203;;0;0
551;趣;qù;w_hsk_3_204;;0;0
552;迎;yíng;w_hsk_3_205;;0;0
553;冰;bīng;w_hsk_3_206;;0;0
554;努;nǔ;w_hsk_3_207;;0;0
555;绿;lǜ;w_hsk_3_208;;0;0
556;街;jiē;w_hsk_3_209;;0;0
557;灯;dēng;w_hsk_3_210;;0;0
558;夏;xià;w_hsk_3_211;;0;0
559;秋;qiū;w_hsk_3_212;;0;0
560;末;mò;w_hsk_3_213;;0;0
561;蓝;lán;w_hsk_3_214;;0;0
562;烧;shāo;w_hsk_3_215;;0;0
563;哭;kū;w_hsk_3_216;;0;0
564;冒;mào;w_hsk_3_217;;0;0
565;惯;guàn;w_hsk_3_218;;0;0
566;鸟;niǎo;w_hsk_3_219;;0;0
567;季;jì;w_hsk_3_220;;0;0
568;鼻;bí;w_hsk_3_221;;0;0
569;腿;tuǐ;w_hsk_3_222;;0;0
570;迟;chí;w_hsk_3_223;;0;0
571;辆;liàng;w_hsk_3_224;;0;0
572;净;jìng;w_hsk_3_225;;0;0
573;冬;dōng;w_hsk_3_226;;0;0
574;骑;qí;w_hsk_3_227;;0;0
575;叔;shū;w_hsk_3_228;;0;0
576;爬;pá;w_hsk_3_229;;0;0
577;扫;sǎo;w_hsk_3_230;;0;0
578;箱;xiāng;w_hsk_3_231;;0;0
579;舒;shū;w_hsk_3_232;;0;0
580;绩;jī;w_hsk_3_233;;0;0
581;饮;yǐn;w_hsk_3_234;;0;0
582;朵;duǒ;w_hsk_3_235;;0;0
583;鞋;xié;w_hsk_3_236;;0;0
584;邮;yóu;w_hsk_3_237;;0;0
585;邻;lín;w_hsk_3_238;;0;0
586;聪;cōng;w_hsk_3_239;;0;0
587;梯;tī;w_hsk_3_240;;0;0
588;瓶;píng;w_hsk_3_241;;0;0
589;疼;téng;w_hsk_3_242;;0;0
590;熊;xióng;w_hsk_3_243;;0;0
591;帽;mào;w_hsk_3_244;;0;0
592;炼;liàn;w_hsk_3_245;;0;0
593;搬;bān;w_hsk_3_246;;0;0
594;刷;shuā;w_hsk_3_247;;0;0
595;瘦;shòu;w_hsk_3_248;;0;0
596;斤;jīn;w_hsk_3_249;;0;0
597;胖;pàng;w_hsk_3_250;;0;0
598;饿;è;w_hsk_3_251;;0;0
599;聊;liáo;w_hsk_3_252;;0;0
600;碗;wǎn;w_hsk_3_253;;0;0
601;渴;kě;w_hsk_3_254;;0;0
602;饱;bǎo;w_hsk_3_255;;0;0
