85;打;dǎ;"strike, hit, beat; fight; attack";w_hsk1_85;0;0
86;女;nǚ;"woman, girl; feminine; rad. 38";w_hsk1_86;0;0
87;四;sì;four;w_hsk1_87;0;0
88;电;diàn;"electricity; electric; lightning";w_hsk1_88;0;0
89;少;shǎo;few, less, inadequate;w_hsk1_89;0;0
90;太;tài;"very, too, much; big; extreme";w_hsk1_90;0;0
91;再;zài;again, twice, re-;w_hsk1_91;0;0
92;做;zuò;"work, make; act";w_hsk1_92;0;0
93;期;qī;"period of time; date; time limit";w_hsk1_93;0;0
94;五;wǔ;"five; surname";w_hsk1_94;0;0
95;书;shū;"book, letter, document; writings";w_hsk1_95;0;0
96;听;tīng;"hear; understand; obey, comply";w_hsk1_96;0;0
97;住;zhù;"reside, live at, dwell, lodge; stop";w_hsk1_97;0;0
98;北;běi;"north; northern; northward";w_hsk1_98;0;0
99;觉;jué;"to wake up from sleep; conscious";w_hsk1_99;0;0
100;师;shī;teacher, master, specialist;w_hsk1_100;0;0
101;今;jīn;now, today, modern era;w_hsk1_101;0;0
102;院;yuàn;"courtyard, yard, court; school";w_hsk1_102;0;0
103;识;shí;recognize, understand, know;w_hsk1_103;0;0
104;候;hòu;"wait; expect; visit; greet";w_hsk1_104;0;0
105;飞;fēi;"fly; go quickly; dart; high";w_hsk1_105;0;0
106;车;chē;"cart, vehicle; carry in cart";w_hsk1_106;0;0
107;服;fú;"clothes; wear, dress";w_hsk1_107;0;0
108;怎;zěn;what? why? how?;w_hsk1_108;0;0
109;呢;ne;"interrogative or emphatic final; (Cant.) this";w_hsk1_109;0;0
110;叫;jiào;"cry, shout; hail, greet, call";w_hsk1_110;0;0
111;影;yǐng;"shadow; image, reflection; photograph";w_hsk1_111;0;0
112;字;zì;letter, character, word;w_hsk1_112;0;0
113;爱;ài;love, be fond of, like;w_hsk1_113;0;0
114;商;shāng;commerce, business, trade;w_hsk1_114;0;0
115;请;qǐng;"ask, request; invite; please";w_hsk1_115;0;0
116;视;shì;look at, inspect, observe, see;w_hsk1_116;0;0
117;九;jiǔ;nine;w_hsk1_117;0;0
118;写;xiě;"write; draw, sketch; compose";w_hsk1_118;0;0
119;八;bā;"eight; all around, all sides";w_hsk1_119;0;0
120;吗;ma;final interrogative particle;w_hsk1_120;0;0
121;吃;chī;"eat; drink; suffer, endure, bear";w_hsk1_121;0;0
122;六;liù;number six;w_hsk1_122;0;0
123;医;yī;"cure, heal; doctor, medical";w_hsk1_123;0;0
124;号;hào;"mark, sign; symbol; number";w_hsk1_124;0;0
125;语;yǔ;"language, words; saying, expression";w_hsk1_125;0;0
126;七;qī;seven;w_hsk1_126;0;0
127;兴;xìng;thrive, prosper, flourish;w_hsk1_127;0;0
128;星;xīng;"a star, planet; any point of light";w_hsk1_128;0;0
129;京;jīng;capital city;w_hsk1_129;0;0
130;米;mǐ;hulled or husked uncooked rice;w_hsk1_130;0;0
131;客;kè;"guest, traveller; customer";w_hsk1_131;0;0
132;友;yǒu;"friend, companion; fraternity";w_hsk1_132;0;0
133;钱;qián;money, currency, coins;w_hsk1_133;0;0
134;热;rè;"hot; heat; fever; restless; zeal";w_hsk1_134;0;0
135;坐;zuò;"sit; seat; ride, travel by";w_hsk1_135;0;0
136;校;xiào;"school; military field officer";w_hsk1_136;0;0
137;脑;nǎo;brain;w_hsk1_137;0;0
138;谁;shuí;who? whom? whose? anyone?;w_hsk1_138;0;0
139;哪;nǎ;which? where? how?;w_hsk1_139;0;0
140;喜;xǐ;"like, love, enjoy; joyful thing";w_hsk1_140;0;0
141;习;xí;"practice; flapping wings";w_hsk1_141;0;0
142;欢;huān;"happy, pleased, glad; joy; enjoy";w_hsk1_142;0;0
143;冷;lěng;"cold, cool; lonely";w_hsk1_143;0;0
144;汉;hàn;"Chinese people; Chinese language";w_hsk1_144;0;0
145;衣;yī;"clothes, clothing; cover, skin";w_hsk1_145;0;0
146;妈;mā;mother, mama;w_hsk1_146;0;0
147;读;dú;"read, study; pronounce";w_hsk1_147;0;0
148;买;mǎi;"buy, purchase; bribe, persuade";w_hsk1_148;0;0
149;岁;suì;"year; age; harvest";w_hsk1_149;0;0
150;块;kuài;"piece, lump; dollar";w_hsk1_150;0;0
151;姐;jiě;elder sister, young lady;w_hsk1_151;0;0
152;亮;liàng;bright, brilliant, radiant, light;w_hsk1_152;0;0
153;朋;péng;friend, pal, acquaintance;w_hsk1_153;0;0
154;谢;xiè;"thank; decline";w_hsk1_154;0;0
155;钟;zhōng;"clock; bell";w_hsk1_155;0;0
156;雨;yǔ;"rain; rainy; KangXi radical 173";w_hsk1_156;0;0
157;饭;fàn;"cooked rice; food, meal";w_hsk1_157;0;0
158;睡;shuì;sleep, doze;w_hsk1_158;0;0
159;喝;hē;"drink; shout, call out";w_hsk1_159;0;0
160;午;wǔ;"noon; 7th terrestrial branch";w_hsk1_160;0;0
161;店;diàn;"shop, store; inn, hotel";w_hsk1_161;0;0
162;爸;bà;father, papa;w_hsk1_162;0;0
163;桌;zhuō;table, desk, stand;w_hsk1_163;0;0
164;菜;cài;"vegetables; dish, order; food";w_hsk1_164;0;0
165;茶;chá;tea;w_hsk1_165;0;0
166;狗;gǒu;dog, canis familiaris;w_hsk1_166;0;0
167;杯;bēi;cup, glass;w_hsk1_167;0;0
168;租;zū;"rent, lease; rental; tax";w_hsk1_168;0;0
169;昨;zuó;"yesterday; in former times, past";w_hsk1_169;0;0
170;漂;piào;"float, drift; tossed about";w_hsk1_170;0;0
171;椅;yǐ;chair, seat;w_hsk1_171;0;0
172;猫;māo;cat;w_hsk1_172;0;0
173;喂;wèi;interjection to call attention;w_hsk1_173;0;0
174;苹;píng;"artemisia; duckweed; apple";w_hsk1_174;0;0
175;为;wèi;"do, handle, govern, act; be";w_hsk1_175;0;0
176;到;dào;go to, arrive, been to;w_hsk1_176;0;0
177;以;yǐ;"by means of; thereby, therefore; consider as; in order to";w_hsk1_177;0;0
178;要;yào;"necessary, essential; necessity";w_hsk1_178;0;0
179;就;jiù;"just, simply; to come, go to; to approach, near";w_hsk1_179;0;0
180;可;kě;"may, can, -able; possibly";w_hsk1_180;0;0
181;也;yě;"also; classical final particle of strong affirmation or identity";w_hsk1_181;0;0
182;得;dé;obtain, get, gain, acquire;w_hsk1_182;0;0
183;着;zhe;make move, take action;w_hsk1_183;0;0
184;过;guò;pass, pass through, go across;w_hsk1_184;0;0
185;道;dào;"path, road, street; method, way";w_hsk1_185;0;0
186;所;suǒ;"place, location; numerary adjunct";w_hsk1_186;0;0
187;然;rán;"yes, certainly; pledge, promise";w_hsk1_187;0;0
188;事;shì;"affair, matter, business; to serve; accident, incident";w_hsk1_188;0;0
189;经;jīng;"classic works; pass through";w_hsk1_189;0;0
190;动;dòng;"move, happen; movement, action";w_hsk1_190;0;0
191;还;hái;still, yet, also, besides;w_hsk1_191;0;0
192;进;jìn;advance, make progress, enter;w_hsk1_192;0;0
193;但;dàn;"only; but, however, yet, still";w_hsk1_193;0;0
194;因;yīn;"cause, reason; by; because (of)";w_hsk1_194;0;0
195;从;cóng;from, by, since, whence, through;w_hsk1_195;0;0
196;日;rì;"sun; day; daytime";w_hsk1_196;0;0
197;意;yì;"thought, idea, opinion; think";w_hsk1_197;0;0
198;它;tā;"it; other";w_hsk1_198;0;0
199;长;zhǎng;"long; length; excel in; leader";w_hsk1_199;0;0
200;第;dì;"sequence, number; grade, degree";w_hsk1_200;0;0
201;公;gōng;"fair, equitable; public; duke";w_hsk1_201;0;0
202;已;yǐ;"already; finished; stop";w_hsk1_202;0;0
203;情;qíng;feeling, sentiment, emotion;w_hsk1_203;0;0
204;知;zhī;know, perceive, comprehend;w_hsk1_204;0;0
205;正;zhèng;right, proper, correct;w_hsk1_205;0;0
206;外;wài;"out, outside, external; foreign";w_hsk1_206;0;0
207;两;liǎng;"two, both, pair, couple; ounce";w_hsk1_207;0;0
208;间;jiān;"midpoint, space; place, locality";w_hsk1_208;0;0
209;问;wèn;ask about, inquire after;w_hsk1_209;0;0
210;最;zuì;most, extremely, exceedingly;w_hsk1_210;0;0
211;手;shǒu;hand;w_hsk1_211;0;0
212;体;tǐ;"body; group, class, body, unit; inferior";w_hsk1_212;0;0
213;等;děng;"rank, grade; wait; equal; 'etc.'";w_hsk1_213;0;0
214;新;xīn;new, recent, fresh, modern;w_hsk1_214;0;0
215;身;shēn;"body; trunk, hull; rad. no. 158";w_hsk1_215;0;0
216;表;biǎo;show, express, manifest, display;w_hsk1_216;0;0
217;给;gěi;"give; by, for";w_hsk1_217;0;0
218;次;cì;"order, sequence; next";w_hsk1_218;0;0
219;门;mén;gate, door, entrance, opening;w_hsk1_219;0;0
220;常;cháng;common, normal, frequent, regular;w_hsk1_220;0;0
221;教;jiào;teach, class;w_hsk1_221;0;0
222;比;bǐ;"to compare, liken; comparison; than";w_hsk1_222;0;0
223;员;yuán;"member; personnel, staff member";w_hsk1_223;0;0
224;真;zhēn;real, actual, true, genuine;w_hsk1_224;0;0
225;走;zǒu;"walk, go on foot; run; leave";w_hsk1_225;0;0
226;条;tiáo;"clause, condition; string, stripe";w_hsk1_226;0;0
227;题;tí;"forehead; title, headline; theme";w_hsk1_227;0;0
228;别;bié;"separate, other; do not";w_hsk1_228;0;0
229;报;bào;report, tell, announce;w_hsk1_229;0;0
230;务;wù;"affairs, business; must, should";w_hsk1_230;0;0
231;场;chǎng;open space, field, market;w_hsk1_231;0;0
232;件;jiàn;"numerary adjunct for article; matter";w_hsk1_232;0;0
233;便;biàn;"convenience, ease; expedient";w_hsk1_233;0;0
234;司;sī;"take charge of, control, manage; officer";w_hsk1_234;0;0
235;眼;yǎn;"eye; eyelet, hole, opening";w_hsk1_235;0;0
236;非;fēi;"not, negative, non-; oppose";w_hsk1_236;0;0
237;白;bái;"white; pure, unblemished; bright";w_hsk1_237;0;0
238;思;sī;"think, consider, ponder; final particle";w_hsk1_238;0;0
239;完;wán;"complete, finish, settle; whole";w_hsk1_239;0;0
240;色;sè;"color, tint, hue, shade; form, body; beauty, desire for beauty";w_hsk1_240;0;0
241;路;lù;"road, path, street; journey";w_hsk1_241;0;0
242;告;gào;"tell, announce, inform; accuse";w_hsk1_242;0;0
243;边;biān;edge, margin, side, border;w_hsk1_243;0;0
244;望;wàng;"to look at, look forward; to hope, expect";w_hsk1_244;0;0
245;共;gòng;"together with, all, total; to share";w_hsk1_245;0;0
246;让;ràng;allow, permit, yield, concede;w_hsk1_246;0;0
247;运;yùn;"run; simplified form of 運 luck, fortune; ship, transport";w_hsk1_247;0;0
248;笑;xiào;"smile, laugh, giggle; snicker";w_hsk1_248;0;0
249;步;bù;"step, pace; walk, stroll";w_hsk1_249;0;0
250;每;měi;every, each;w_hsk1_250;0;0
